
Data	MACK5	SIDC
1996-05-19	0	0
1996-05-20	0	11
1996-05-22	0	0
1996-07-24	0	0
1996-07-26	0	12
1996-07-30	23	27
1996-07-31	28	30
1996-08-01	13	26
1996-08-04	19	29
1996-08-05	13	22
1996-08-06	0	14
1996-08-11	15	29
1996-08-15	12	26
1996-08-17	12	15
1996-08-23	11	14
1996-08-24	11	22
1996-08-25	11	14
1996-08-27	22	18
1996-08-29	11	15
1996-08-30	35	19
1996-08-31	22	26
1996-09-01	11	24
1996-09-02	11	17
1996-09-05	0	0
1996-09-06	0	0
1996-09-07	13	22
1996-09-08	0	0
1996-09-09	0	0
1996-09-11	0	0
1996-09-12	0	15
1996-09-14	0	0
1996-09-15	0	0
1996-09-16	0	0
1996-09-17	0	0
1996-09-24	0	0
1996-09-25	0	0
1996-09-26	0	0
1996-09-27	0	0
1996-09-30	0	0
1996-10-04	0	0
1996-10-06	0	0
1996-10-11	0	0
1996-10-14	0	0
1996-10-15	0	0
1996-10-22	0	0
1996-10-23	0	0
1996-10-24	0	0
1996-10-27	0	7
1996-10-29	0	0
1996-10-30	0	0
1996-10-31	0	0
1996-11-01	0	0
1996-11-02	11	0
1996-11-06	0	0
1996-11-09	0	11
1996-11-11	11	20
1996-11-13	11	15
1996-11-20	11	13
1996-11-21	22	25
1996-11-25	38	79
1996-11-26	45	72
1996-11-27	41	63
1996-12-01	26	24
1996-12-03	0	0
1996-12-04	0	0
1996-12-06	0	0
1996-12-09	13	18
1996-12-10	14	17
1996-12-11	34	29
1996-12-12	26	30
1996-12-16	12	25
1996-12-17	23	29
1996-12-18	38	34
1996-12-19	16	24
1996-12-20	11	16
1996-12-24	0	13
1996-12-25	0	0
1996-12-27	0	0
1996-12-28	0	0
1996-12-29	0	0
1997-01-02	0	0
1997-01-03	0	0
1997-01-04	0	14
1997-01-05	15	13
1997-01-06	14	16
1997-01-09	0	12
1997-01-10	12	12
1997-01-14	0	0
1997-01-15	12	14
1997-01-16	12	22
1997-01-17	11	10
1997-01-21	0	0
1997-01-22	0	0
1997-01-23	0	0
1997-01-25	11	10
1997-01-28	0	0
1997-01-30	12	14
1997-02-04	31	45
1997-02-05	25	33
1997-02-06	33	26
1997-02-07	11	22
1997-02-08	11	12
1997-02-12	0	0
1997-02-26	0	0
1997-02-28	0	0
1997-03-04	0	0
1997-03-06	0	11
1997-03-07	12	14
1997-03-08	24	26
1997-03-11	13	18
1997-03-14	12	18
1997-03-15	23	35
1997-03-17	13	17
1997-03-20	0	12
1997-03-22	0	0
1997-03-23	0	0
1997-03-24	0	0
1997-03-25	0	0
1997-03-31	16	24
1997-04-01	16	25
1997-04-03	39	55
1997-04-07	13	16
1997-04-08	23	15
1997-04-18	11	13
1997-06-14	26	31
1997-06-15	26	31
1997-06-16	36	33
1997-06-18	12	29
1997-06-19	35	16
1997-06-20	11	13
1997-06-21	11	11
1997-06-22	0	0
1997-06-23	11	15
1997-06-25	26	31
1997-06-26	14	24
1997-06-28	11	13
1997-06-29	0	13
1997-06-30	0	0
1997-07-02	0	0
1997-07-04	12	11
1997-07-05	11	10
1997-07-06	0	12
1997-07-07	11	32
1997-07-09	12	21
1997-07-10	15	16
1997-07-13	0	0
1997-07-14	0	11
1997-07-21	22	0
1997-07-22	11	14
1997-07-25	37	48
1997-07-26	35	42
1997-07-27	44	31
1997-07-29	11	14
1997-08-01	0	0
1997-08-03	12	19
1997-08-04	11	13
1997-08-05	26	25
1997-08-07	40	60
1997-08-10	23	31
1997-08-11	22	53
1997-08-12	49	70
1997-08-13	47	67
1997-08-14	45	57
1997-08-15	45	54
1997-08-16	22	31
1997-08-17	33	26
1997-08-21	11	13
1997-08-22	11	12
1997-08-23	11	13
1997-08-24	0	0
1997-08-28	30	48
1997-08-31	31	78
1997-09-02	40	69
1997-09-03	39	56
1997-09-04	48	49
1997-09-05	40	58
1997-09-08	67	101
1997-09-09	75	106
1997-09-11	57	100
1997-09-12	51	103
1997-09-13	60	99
1997-09-14	53	82
1997-09-15	54	76
1997-09-22	40	52
1997-09-23	30	49
1997-09-25	39	57
1997-09-26	37	30
1997-09-27	25	35
1997-09-28	13	21
1997-09-29	12	19
1997-10-01	23	36
1997-10-02	34	30
1997-10-03	45	30
1997-10-04	33	30
1997-10-07	22	24
1997-10-08	23	23
1997-10-09	23	29
1997-10-10	36	32
1997-10-11	37	35
1997-10-14	25	35
1997-10-15	24	40
1997-10-16	36	49
1997-10-18	57	50
1997-10-19	23	36
1997-10-20	22	30
1997-10-21	23	29
1997-10-23	0	0
1997-10-24	11	14
1997-10-25	23	16
1997-10-26	12	16
1997-10-27	37	33
1997-10-29	30	43
1997-11-01	36	56
1997-11-03	33	70
1997-11-04	31	76
1997-11-05	36	66
1997-11-06	41	65
1997-11-07	37	56
1997-11-08	67	48
1997-11-09	22	32
1997-11-10	28	25
1997-11-11	34	37
1997-11-12	23	26
1997-11-14	29	49
1997-11-15	31	39
1997-11-16	27	37
1997-11-18	32	56
1997-11-19	36	56
1997-11-20	31	52
1997-11-21	28	53
1997-11-22	27	61
1997-11-23	52	71
1997-11-24	50	63
1997-11-25	56	39
1997-11-26	34	34
1997-11-27	37	40
1997-11-28	30	43
1997-11-29	30	50
1997-11-30	32	54
1997-12-01	36	62
1997-12-02	27	55
1997-12-03	24	45
1997-12-04	31	49
1997-12-05	30	43
1997-12-06	47	51
1997-12-07	46	54
1997-12-08	71	78
1997-12-09	67	90
1997-12-11	62	82
1997-12-13	51	71
1997-12-14	37	57
1997-12-15	36	55
1997-12-16	48	47
1997-12-17	39	46
1997-12-18	15	27
1997-12-19	34	20
1997-12-20	24	26
1997-12-21	23	30
1997-12-22	28	43
1997-12-23	39	61
1997-12-24	31	70
1997-12-26	31	50
1997-12-27	38	55
1997-12-28	38	51
1997-12-29	36	55
1997-12-30	47	61
1997-12-31	50	61
1998-01-01	37	54
1998-01-02	36	43
1998-01-03	26	32
1998-01-04	14	28
1998-01-05	0	14
1998-01-06	0	1
1998-01-07	0	0
1998-01-08	0	0
1998-01-09	0	0
1998-01-10	12	14
1998-01-11	34	38
1998-01-12	33	53
1998-01-13	30	50
1998-01-14	28	42
1998-01-15	29	45
1998-01-16	53	73
1998-01-17	61	73
1998-01-18	60	64
1998-01-19	55	54
